Marco,Código,Tema / Disclosure,Comentario
GRI,2-3,Periodo del reporte y contacto,Universal Standard
GRI,2-4,Reformulación de información,Universal Standard
GRI,2-5,Verificación externa,Universal Standard
GRI,2-7,Empleados,Universal Standard
GRI,2-9,Estructura de gobierno y composición,Universal Standard
GRI,2-12,Rol del máximo órgano en supervisión de impactos,Universal Standard
GRI,2-13,Delegación de responsabilidad sobre impactos,Universal Standard
GRI,2-14,Rol del máximo órgano en informe de sostenibilidad,Universal Standard
GRI,2-19,Políticas de remuneración,Universal Standard
GRI,2-20,Proceso para determinar la remuneración,Universal Standard
GRI,2-22,Declaración sobre estrategia de desarrollo sostenible,Universal Standard
GRI,2-23,Compromisos de política,Universal Standard
GRI,2-24,Incorporación de los compromisos de política,Universal Standard
GRI,2-25,Procesos para remediar impactos negativos,Universal Standard
GRI,2-27,Cumplimiento de leyes y regulaciones,Universal Standard
GRI,2-28,Membresías en asociaciones,Universal Standard
GRI,2-29,Enfoque para la participación de stakeholders,Universal Standard
GRI,2-30,Convenios colectivos,Universal Standard
GRI,3-1,Proceso para determinar temas materiales,Universal Standard
GRI,3-2,Lista de temas materiales,Universal Standard
GRI,3-3,Gestión de temas materiales,Universal Standard
GRI,201-1,Valor económico generado y distribuido,Topic Standard — Economic
GRI,201-2,Implicaciones financieras del cambio climático,Topic Standard — Economic
GRI,203-1,Inversiones en infraestructura y servicios apoyados,Topic Standard — Indirect Economic Impacts
GRI,203-2,Impactos económicos indirectos significativos,Topic Standard — Indirect Economic Impacts
GRI,204-1,Proporción de gasto en proveedores locales,Topic Standard — Procurement Practices
GRI,205-1,Operaciones evaluadas para riesgos de corrupción,Topic Standard — Anti-corruption
GRI,205-2,Comunicación y formación sobre anticorrupción,Topic Standard — Anti-corruption
GRI,205-3,Casos de corrupción confirmados,Topic Standard — Anti-corruption
GRI,301-1,Materiales utilizados por peso o volumen,Topic Standard — Materials
GRI,301-2,Insumos reciclados,Topic Standard — Materials
GRI,302-1,Consumo energético dentro de la organización,Topic Standard — Energy
GRI,302-3,Intensidad energética,Topic Standard — Energy
GRI,302-4,Reducción del consumo energético,Topic Standard — Energy
GRI,303-2,Gestión de impactos hídricos,Topic Standard — Water
GRI,303-3,Extracción de agua,Topic Standard — Water
GRI,303-4,Vertido de agua,Topic Standard — Water
GRI,303-5,Consumo de agua,Topic Standard — Water
GRI,305-1,Emisiones directas (Alcance 1),Topic Standard — Emissions
GRI,305-2,Emisiones indirectas energía (Alcance 2),Topic Standard — Emissions
GRI,305-3,Otras emisiones indirectas (Alcance 3),Topic Standard — Emissions
GRI,305-5,Reducción de emisiones,Topic Standard — Emissions
GRI,306-1,Generación de residuos e impactos,Topic Standard — Waste
GRI,306-2,Gestión de impactos significativos,Topic Standard — Waste
GRI,306-3,Residuos generados,Topic Standard — Waste
GRI,306-4,Residuos no destinados a eliminación,Topic Standard — Waste
GRI,306-5,Residuos destinados a eliminación,Topic Standard — Waste
GRI,307-1,Incumplimiento de la legislación ambiental,Topic Standard — Environmental Compliance
GRI,308-1,Nuevos proveedores evaluados con criterios ambientales,Topic Standard — Supplier Environmental
GRI,308-2,Impactos ambientales negativos en cadena de suministro,Topic Standard — Supplier Environmental
GRI,401-1,Nuevas contrataciones y rotación de personal,Topic Standard — Employment
GRI,401-2,Beneficios para empleados a tiempo completo,Topic Standard — Employment
GRI,401-3,Permiso parental,Topic Standard — Employment
GRI,403-1,Sistema de gestión SST,Topic Standard — OHS
GRI,403-2,"Identificación de peligros, evaluación de riesgos",Topic Standard — OHS
GRI,403-3,Servicios de salud en el trabajo,Topic Standard — OHS
GRI,403-6,Promoción de la salud de los trabajadores,Topic Standard — OHS
GRI,403-9,Lesiones por accidente laboral,Topic Standard — OHS
GRI,403-10,Dolencias y enfermedades laborales,Topic Standard — OHS
GRI,404-1,Horas medias de formación,Topic Standard — Training
GRI,404-2,Programas de formación y desarrollo,Topic Standard — Training
GRI,404-3,Evaluaciones periódicas de desempeño,Topic Standard — Training
GRI,405-1,Diversidad en órganos de gobierno y empleados,Topic Standard — Diversity
GRI,405-2,Ratio del salario base por género,Topic Standard — Diversity
GRI,406-1,Casos de discriminación,Topic Standard — Non-discrimination
GRI,407-1,Riesgos para la libertad de asociación,Topic Standard — Freedom of Association
GRI,410-1,Personal de seguridad capacitado en DDHH,Topic Standard — Security
GRI,411-1,Casos de violación de derechos de pueblos indígenas,Topic Standard — Indigenous Rights
GRI,412-1,Operaciones evaluadas para impactos en DDHH,Topic Standard — Human Rights
GRI,412-2,Formación de empleados en políticas de DDHH,Topic Standard — Human Rights
GRI,412-3,Acuerdos de inversión sometidos a evaluación DDHH,Topic Standard — Human Rights
GRI,413-1,Operaciones con participación de comunidad local,Topic Standard — Local Communities
GRI,413-2,Operaciones con impactos negativos en comunidades,Topic Standard — Local Communities
GRI,414-1,Nuevos proveedores evaluados con criterios sociales,Topic Standard — Supplier Social
GRI,414-2,Impactos sociales negativos en cadena de suministro,Topic Standard — Supplier Social
GRI,416-1,Evaluación de impactos en salud y seguridad de productos,Topic Standard — Customer H&S
GRI,417-1,Requisitos de información y etiquetado,Topic Standard — Marketing & Labeling
SASB,GHG Emissions,Tema general transversal,Aplica vía Industry Standards
SASB,Energy Mgmt,Tema general transversal,Aplica vía Industry Standards
SASB,Water Mgmt,Tema general transversal,Aplica vía Industry Standards
SASB,Waste Mgmt,Tema general transversal,Aplica vía Industry Standards
SASB,Materials Sourcing,Tema general transversal,Aplica vía Industry Standards
SASB,Environmental Mgmt,Marco general de gestión ambiental,Aplica vía Industry Standards
SASB,Labor Practices,Tema general transversal,Aplica vía Industry Standards
SASB,Health & Safety,Tema general transversal,Aplica vía Industry Standards
SASB,Human Rights,Tema general transversal,Aplica vía Industry Standards
SASB,Community Relations,Tema general transversal,Aplica vía Industry Standards
SASB,Supply Chain Mgmt,Tema general transversal,Aplica vía Industry Standards
SASB,Business Ethics,Tema general transversal,Aplica vía Industry Standards
ISSB-S1,§27,Estrategia: descripción del modelo de negocio,IFRS S1
ISSB-S1,§28,Riesgos y oportunidades de sostenibilidad,IFRS S1
ISSB-S1,§29,Establecimiento de metas,IFRS S1
